UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),POSTED_BY_Dealer,POSTED_BY_Owner,BHK_OR_RK_RK
False,False,2,1000.0,True,True,28.593566,77.362752,60.0,True,False,False
False,False,4,2494.747899,True,True,12.995285,77.766797,95.0,True,False,False
False,False,2,1150.130348,True,True,13.1101,80.2095,75.0,False,True,False
False,False,2,1210.136674,True,True,19.0168,73.09646,85.0,True,False,False
False,False,2,1365.001365,True,True,19.126499,72.99956,200.0,True,False,False
True,True,2,499.6366279,False,False,19.255098,72.9815265,110.0,True,False,False
False,False,2,1050.144395,True,True,22.271214,73.188827,40.0,True,False,False
False,False,1,476.0204688999999,True,True,13.020957,80.152774,40.0,False,True,False
False,False,2,985.452839,True,True,28.538774,77.366515,21.0,True,False,False
False,False,2,1045.296167,True,True,28.368269,77.37273,24.0,True,False,False
True,True,2,1301.89498,False,True,12.86,77.786,90.0,True,False,False
False,False,2,2000.0,True,True,28.2102,76.8606,38.0,False,True,False
True,True,4,4465.709729,False,True,28.526624,77.37671800000001,280.0,True,False,False
False,False,2,1192.0,True,True,20.286571,85.810906,59.6,True,False,False
True,False,3,1846.153846,False,False,22.5922,88.484911,120.0,True,False,False
True,False,1,448.5310608,False,True,19.221571,73.042474,120.0,True,False,False
False,False,2,750.0604887000001,True,True,28.66667,77.41667,31.0,False,True,False
False,False,2,1060.0706710000002,True,True,19.040066,73.115347,72.0,True,False,False
False,True,3,1415.09434,True,True,12.8458,77.6727,79.5,True,False,False
False,False,2,1160.062565,True,True,18.96,72.82,89.0,True,False,False
False,False,3,1690.024732,True,True,19.1615,72.8731,410.0,True,False,False
True,False,3,1672.762741,False,True,28.495803,77.42684799999999,68.6,False,True,False
False,False,2,1315.265046,True,True,20.606469,72.913465,33.0,False,True,False
False,False,1,650.026001,True,True,19.245347,73.124577,50.0,True,False,False
False,False,1,540.1755571,True,True,19.585537,72.83686800000001,16.0,False,True,False
False,False,3,1830.065359,True,True,20.098413,79.10786,98.0,True,False,False
False,False,3,1575.157516,True,True,28.66667,77.41667,70.0,True,False,False
False,False,3,1530.0,True,True,12.904179,77.665897,76.5,True,False,False
False,False,2,619.6377502,True,True,12.758604,77.700377,26.0,False,True,False
False,False,4,2200.0,True,True,21.17,72.83,110.0,False,True,False
False,False,3,1757.188498,True,True,40.67197199,-86.15292909,77.0,True,False,False
False,True,2,1087.885617,True,True,19.239813,72.962722,140.0,True,False,False
False,False,2,1199.862873,True,True,12.880993,77.557654,70.0,False,True,False
False,False,2,1265.035255,True,True,13.033421,77.603954,61.0,False,True,False
False,False,2,676.0453302,True,True,22.301625,88.242147,17.3,True,False,False
False,False,2,800.0,True,True,28.678014,77.38296,42.0,False,True,False
False,False,2,750.0750075,True,True,22.486821,88.233267,25.0,False,True,False
False,True,2,1500.0,True,False,13.086769,80.191135,150.0,True,False,False
False,False,3,1814.285714,True,True,20.257482999999997,85.780142,88.9,True,False,False
False,True,3,1195.652174,True,True,24.69028,78.41889,110.0,True,False,False
False,False,3,1395.032324,True,True,26.900926,75.775927,41.0,True,False,False
False,False,2,850.1594049,True,True,19.696531,72.767746,24.0,False,True,False
False,False,2,909.4339623,True,True,12.957707,80.18367099999999,48.2,True,False,False
True,False,2,910.0937672,False,True,25.248438,83.014116,33.0,False,True,False
False,False,3,1850.070303,True,True,12.96991,77.59796,250.0,True,False,False
False,True,3,2069.857697,True,True,28.546788,77.37849399999999,160.0,True,False,False
False,True,2,820.0082001000001,True,True,19.18,72.96333,140.0,True,False,False
False,False,2,1241.8075199999998,True,True,23.182972,72.611485,36.0,True,False,False
False,True,3,1014.120668,True,False,18.5438,73.9438,79.0,True,False,False
False,False,4,2302.158273,True,True,30.697795000000003,76.714722,160.0,True,False,False
False,False,2,900.0782677000001,True,True,24.69028,78.41889,69.0,True,False,False
True,False,2,898.5074627,False,False,26.154874,91.670312,30.1,False,False,False
False,False,3,2235.294118,True,True,26.91667,75.86667,190.0,True,False,False
False,False,3,1350.0,True,True,28.5679,77.3679,81.0,True,False,False
False,True,2,1100.110011,True,True,18.485487,73.80377299999999,70.0,True,False,False
False,True,1,612.1199755,True,True,12.8356,80.1682,30.0,True,False,False
False,False,2,1100.352113,True,True,20.892133,77.741664,25.0,False,True,False
False,True,5,5194.805195,True,True,28.522931,77.357078,400.0,True,False,False
False,False,3,1475.2567689999998,True,True,28.506454,77.40956800000001,79.0,True,False,False
False,True,4,2780.1911379999997,True,True,28.558047,77.392752,160.0,True,False,False
True,False,1,300.0260892,False,False,24.69028,78.41889,11.5,False,False,False
False,False,2,1000.0,True,True,17.7,83.25,50.0,False,True,False
False,False,2,1532.720245,True,True,19.1615,72.8731,230.0,True,False,False
True,True,2,995.8314034,False,False,22.311323,73.121275,21.5,True,False,False
False,False,3,1646.706587,True,False,28.406794,76.936447,110.0,True,False,False
False,False,4,2350.965575,True,True,30.664299,76.817624,56.0,True,False,False
False,False,3,534.061239,True,True,28.34532,77.299035,45.0,False,True,False
True,True,2,1100.0,False,True,19.218498,72.992114,110.0,True,False,False
False,False,3,1968.888889,True,True,26.16667,91.76667,88.6,True,False,False
False,True,3,2196.354052,True,True,28.536585,77.383669,100.0,True,False,False
False,True,4,2400.0,True,True,22.281215,70.789479,300.0,True,False,False
False,False,2,1650.252861,True,True,18.49667,73.94167,62.0,True,False,False
True,True,2,632.0572844999999,False,False,19.402549,72.85441800000001,45.9,True,False,False
False,False,2,1034.965035,True,True,26.882832,81.033767,37.0,False,True,False
False,False,2,965.0439631,True,True,18.96,72.82,90.0,True,False,False
True,True,2,600.5495224,False,False,24.69028,78.41889,45.9,False,False,False
False,False,2,984.8484848,True,True,19.255098,72.9815265,130.0,True,False,False
False,False,3,1700.060716,True,True,19.05871,72.89969,420.0,True,False,False
False,True,1,546.0145603999999,True,False,19.18,72.96333,58.5,True,False,False
False,False,2,1195.499297,True,True,22.55,72.9,17.0,True,False,False
True,True,3,1677.4685470000002,False,True,18.914541,72.818211,220.0,True,False,False
False,True,3,1699.716714,True,True,28.629811,77.434197,48.0,True,False,False
False,False,2,1075.027996,True,True,28.602325,77.40199399999999,48.0,True,False,False
True,True,1,485.7900719999999,False,False,19.222101,72.988231,64.1,True,False,False
False,False,2,929.8998569,True,True,12.919423,77.522774,52.0,False,True,False
False,False,3,1438.021283,True,True,19.124896,72.89350300000001,600.0,True,False,False
False,False,5,5299.9548939999995,True,True,12.91668,77.59196,470.0,True,False,False
False,True,2,1020.181859,True,True,13.055985,77.622157,46.0,True,False,False
False,False,2,1070.135002,True,True,28.6423,77.3445,65.0,False,True,False
False,False,2,2400.3840609999997,True,True,13.603543,79.460402,50.0,False,True,False
False,False,3,1767.388826,True,True,17.546483,78.480303,77.5,False,True,False
True,True,1,524.0,False,False,18.6182,73.7447,26.2,False,False,False
True,True,2,923.7875289,False,True,28.359199,76.836683,120.0,True,False,False
False,False,3,1657.275439,True,True,12.9223,77.5532,100.0,True,False,False
False,False,2,680.0,True,True,19.1759,72.9522,170.0,True,False,False
False,False,2,1100.478469,True,True,22.3301,73.1611,23.0,False,True,False
False,True,3,1701.6949149999998,True,False,21.152442,81.090184,50.2,True,False,False
False,False,1,451.0309278,True,True,28.689982,77.339807,14.0,False,True,False
False,False,3,2727.8562260000003,True,True,22.54111,88.33778000000001,85.0,True,False,False
False,False,2,1000.0,True,True,18.116670000000003,83.41667,30.0,False,True,False
False,False,3,1790.1897600000002,True,True,28.388225,76.946376,100.0,True,False,False
False,False,2,1100.352113,True,True,22.598675,88.438512,25.0,False,True,False
False,True,2,1232.162459,True,True,28.381971000000004,77.347688,44.9,True,False,False
False,False,1,497.988891,True,True,26.137220000000003,91.62778,26.0,True,False,False
False,False,3,1726.017442,True,True,12.995285,77.766797,95.0,False,True,False
True,True,3,1320.052802,False,True,18.5438,73.9438,110.0,True,False,False
False,False,2,990.0990099,True,True,21.250076,81.660749,25.0,False,True,False
False,False,1,675.0441375,True,True,24.69028,78.41889,65.0,True,False,False
False,False,2,674.0361283,True,True,10.5339,76.2085,25.0,False,True,False
False,False,1,775.1114886,True,True,28.543278000000004,77.358896,36.5,True,False,False
False,False,2,718.1042049,True,True,19.12,72.91,180.0,True,False,False
True,True,4,3200.0,False,True,28.429614,77.481711,180.0,True,False,False
False,True,2,945.1795841,True,True,24.586021,80.78740400000001,30.0,False,True,False
False,True,2,1089.028042,True,True,20.07911,73.911636,160.0,True,False,False
False,True,2,942.1518749,True,True,12.96991,77.59796,50.0,True,False,False
False,False,2,1370.0,True,True,19.980678,79.297436,82.2,True,False,False
False,False,2,1265.111049,True,True,9.90708,78.102316,90.0,False,True,False
False,False,3,1394.31121,True,True,24.69028,78.41889,100.0,True,False,False
True,False,2,800.0,False,True,12.80009,77.71181999999999,27.0,True,False,False
True,True,3,1505.144771,False,True,30.662283,76.822397,62.9,True,False,False
False,False,3,1067.270375,True,True,25.232239,71.392013,33.0,False,True,False
False,False,3,1400.059577,True,True,12.913771,77.768321,94.0,False,True,False
False,False,1,728.9473684,True,True,26.807408,75.83865899999999,27.7,True,False,False
False,True,3,1293.103448,True,False,26.900926,75.775927,37.5,True,False,False
True,True,3,106469.0027,False,False,24.69028,78.41889,9480.0,False,False,False
False,False,3,2939.624633,True,True,28.403138,77.070052,390.0,True,False,False
False,True,2,1431.068385,True,True,30.661104,76.746082,65.5,True,False,False
False,False,3,1350.063532,True,True,12.96991,77.59796,85.0,False,True,False
False,False,1,750.1630789,True,True,21.189685,72.841062,23.0,False,True,False
False,True,3,1170.074459,True,True,24.69028,78.41889,99.0,True,False,False
False,False,2,1121.076233,True,True,24.69028,78.41889,45.0,False,True,False
False,False,4,1904.761905,True,True,30.714837,76.751896,100.0,True,False,False
False,False,4,7054.132801999999,True,True,28.388225,76.946376,460.0,True,False,False
False,False,2,950.0285009,True,True,19.1758,72.8643,150.0,True,False,False
False,False,2,969.9321048,True,True,12.852041,77.616315,40.0,False,True,False
False,False,1,636.0078278,True,True,19.038205,73.06612,52.0,True,False,False
False,False,4,4578.507945,True,True,12.929162,77.629041,340.0,True,False,False
False,False,1,700.0259269,True,True,18.5823,73.983,27.0,False,True,False
False,False,3,1859.637775,True,True,19.218498,72.992114,230.0,True,False,False
False,False,3,1700.1866059999998,True,True,31.097061,77.15489699999999,82.0,False,True,False
False,False,3,1847.187238,True,False,28.397468,76.945489,110.0,True,False,False
False,True,1,509.5541401,True,False,18.966114,73.148278,40.0,True,False,False
False,False,3,1427.424391,True,True,22.56972,88.36972,160.0,True,False,False
False,False,2,715.0518413,True,True,26.532207,75.520538,20.0,False,True,False
False,False,3,1393.214227,True,True,19.062322,72.88075400000001,85.0,False,True,False
False,False,2,900.3215434,True,True,30.768683000000003,76.650876,22.4,False,True,False
False,False,2,1000.0,True,True,19.18,72.96333,120.0,True,False,False
False,False,2,800.0,True,True,26.209301999999997,78.194369,35.0,False,True,False
True,False,1,445.0304928000001,False,True,20.084522,72.900306,54.0,True,False,False
False,False,2,1125.175809,True,True,12.96991,77.59796,56.0,False,True,False
False,False,2,1015.113918,True,True,19.283359,72.864964,90.0,True,False,False
False,True,2,1200.4175369999998,True,True,23.185756,77.498465,23.0,False,True,False
False,True,1,1060.147122,True,True,13.23,77.7,49.0,True,False,False
False,False,3,1654.8463359999998,True,True,9.930471,76.271273,70.0,False,True,False
False,False,3,1175.121811,True,True,22.54111,88.33778000000001,41.0,True,False,False
False,False,1,412.0213282,True,True,20.379289,72.932048,8.5,False,True,False
False,False,3,1877.435352,True,True,22.340396,73.19706,53.0,True,False,False
True,False,2,1150.121065,False,True,50.817397,4.42145,38.0,True,False,False
False,False,2,910.0529101,True,True,22.281878,70.752639,43.0,False,True,False
True,True,2,1080.0,False,False,13.010349,77.712151,32.4,False,False,False
False,True,3,1902.843071,True,True,12.96991,77.59796,170.0,True,False,False
False,False,1,850.4606662,True,True,22.1764,75.8193,12.0,False,True,False
True,True,2,1051.223242,False,True,19.18,72.96333,110.0,True,False,False
False,True,2,945.0617925,True,True,24.69028,78.41889,91.0,True,False,False
True,False,2,570.0958797999999,False,True,23.259859,77.427777,22.0,False,True,False
False,False,2,1050.070432,True,True,19.049989,73.077321,82.0,True,False,False
False,True,2,1785.060417,True,True,19.1145,72.8712,390.0,True,False,False
False,False,2,800.0,True,True,22.403867,88.47000600000001,35.0,False,True,False
False,False,2,750.0551511,True,True,12.919987,77.489265,34.0,False,True,False
False,False,2,1129.908619,True,True,28.409274,77.322293,91.5,True,False,False
True,True,4,2857.142857,False,False,22.1764,75.8193,120.0,False,False,False
False,False,2,896.6801117000001,True,True,30.662283,76.822397,28.9,True,False,False
False,False,2,900.116144,True,True,16.198332,77.34239000000001,31.0,False,True,False
False,False,3,1870.32419,True,True,28.874383,77.113251,75.0,False,True,False
False,False,2,1288.102262,True,True,13.0306,77.6485,78.6,False,True,False
True,True,4,2461.538462,False,True,26.91868,75.750399,160.0,True,False,False
False,False,2,1066.408143,True,True,22.288976,73.128222,22.0,True,False,False
False,False,4,4299.996417,True,True,19.139348,72.820458,1200.0,True,False,False
True,True,2,816.8491699,False,False,19.0167,72.8167,370.0,True,False,False
False,False,2,1261.625556,True,True,28.874383,77.113251,31.2,True,False,False
False,False,2,1160.092807,True,True,13.0583,77.5732,45.0,False,True,False
True,True,2,828.7063893,False,True,12.91668,77.59196,100.0,True,False,False
False,True,3,2015.021066,True,True,13.010349,77.712151,110.0,False,True,False
False,False,3,2765.784114,True,True,26.928785,75.828002,67.9,True,False,False
False,False,2,790.0334245,True,True,12.863492,77.74143000000001,26.0,True,False,False
False,False,3,1358.024691,True,False,13.09,80.27,110.0,False,False,False
False,False,1,850.1594049,True,True,21.800275,72.60499300000001,24.0,False,True,False
False,False,2,1115.075825,True,True,18.973908,73.02510600000001,100.0,True,False,False
False,False,1,406.3088686,True,True,20.742166,80.104602,110.0,True,False,False
False,False,2,1080.080235,True,True,22.519728,88.38573000000001,70.0,True,False,False
False,True,4,3621.234302,True,True,12.96991,77.59796,470.0,True,False,False
True,True,6,10050.25126,False,True,28.548382,77.32781899999999,1200.0,True,False,False
False,False,3,1150.0069,True,True,19.05871,72.89969,250.0,True,False,False
False,True,3,2489.4067800000003,True,True,12.980033,77.69932800000001,94.0,False,True,False
True,False,3,1894.179894,False,True,25.3945,81.8615,53.7,True,False,False
False,False,4,4000.0,True,True,28.644695,77.33895600000001,140.0,True,False,False
False,True,2,1269.146608,True,True,22.727017,75.93404100000001,40.6,True,False,False
False,True,4,3458.3665869999995,True,True,28.560719,77.386208,260.0,False,True,False
False,True,2,835.2668213,True,False,29.9055,75.2547,25.2,False,False,False
False,False,2,1185.146168,True,True,22.54111,88.33778000000001,90.0,False,True,False
False,False,3,1289.872756,True,True,13.23,77.7,74.0,True,False,False
False,False,3,2100.0,True,True,11.931023,79.828222,210.0,True,False,False
False,False,4,3167.898627,True,True,21.189685,72.841062,150.0,True,False,False
False,False,4,433333.3333,True,True,9.893479,76.408774,65.0,False,True,False
False,False,2,845.007783,True,True,12.9974,80.0966,38.0,False,False,False
False,False,1,850.0,True,True,21.0,77.0,27.2,True,False,False
